loan_id,customer_id,loan_type,principal,interest_rate,tenure_months,loan_status
LN000074,CUST028550,EDUCATION,1987515.0,7.28,36,CLOSED
LN000075,CUST097615,EDUCATION,5097577.73,10.99,60,DEFAULT
LN000076,CUST075782,PERSONAL,6725448.62,8.09,60,CLOSED
LN000077,CUST048602,AUTO,8753193.65,8.6,240,DEFAULT
LN000078,CUST020138,AUTO,6302283.62,14.87,60,ACTIVE
LN000079,CUST097645,AUTO,953610.42,7.45,24,CLOSED
LN000080,CUST054719,PERSONAL,9324252.35,11.92,120,DEFAULT
LN000081,CUST060320,EDUCATION,399209.0,13.43,60,CLOSED
LN000082,CUST097536,HOME,2748990.69,10.95,120,CLOSED
LN000083,CUST062210,PERSONAL,7214204.89,11.15,240,CLOSED
LN000084,CUST015045,EDUCATION,9586559.56,7.42,12,CLOSED
LN000085,CUST082835,HOME,7124619.36,8.2,36,DEFAULT
LN000086,CUST090213,EDUCATION,1819681.66,12.12,120,DEFAULT
LN000087,CUST090061,EDUCATION,4548348.93,11.61,60,DEFAULT
LN000088,CUST081305,PERSONAL,7693528.87,8.03,12,CLOSED
LN000089,CUST058964,EDUCATION,4676650.31,10.49,24,DEFAULT
LN000090,CUST006972,EDUCATION,1098454.56,11.27,240,DEFAULT
LN000091,CUST056241,AUTO,1812192.11,14.35,120,ACTIVE
LN000092,CUST076184,PERSONAL,714036.94,9.4,36,CLOSED
LN000093,CUST056714,AUTO,5573338.71,11.29,60,CLOSED
LN000094,CUST095418,PERSONAL,4169120.27,13.16,36,ACTIVE
LN000095,CUST056836,AUTO,8110152.11,10.74,36,CLOSED
LN000096,CUST072515,HOME,6418380.97,13.48,240,CLOSED
LN000097,CUST016514,AUTO,4360625.96,8.81,36,ACTIVE
LN000098,CUST033879,EDUCATION,4136087.93,10.72,12,ACTIVE
LN000099,CUST094595,AUTO,1374857.58,9.36,240,ACTIVE
LN000100,CUST048377,AUTO,9770022.98,12.33,36,CLOSED
LN000101,CUST077377,PERSONAL,2947502.7,9.16,36,CLOSED
LN000102,CUST077444,AUTO,4555571.3,13.24,12,ACTIVE
LN000103,CUST066923,HOME,8104624.78,9.21,60,ACTIVE
LN000104,CUST033550,AUTO,5253441.48,7.06,12,DEFAULT
LN000105,CUST051035,AUTO,552169.48,7.05,12,DEFAULT
LN000106,CUST010734,EDUCATION,4746745.27,9.76,24,ACTIVE
LN000107,CUST034929,AUTO,2671542.44,7.95,12,ACTIVE
LN000108,CUST023447,PERSONAL,7394323.92,10.73,240,CLOSED
LN000109,CUST007017,AUTO,4976343.65,8.96,24,CLOSED
LN000110,CUST080344,EDUCATION,3787692.35,8.23,120,CLOSED
LN000111,CUST055000,AUTO,9972714.96,9.13,24,CLOSED
LN000112,CUST076184,HOME,5320859.49,10.37,60,DEFAULT
LN000113,CUST004953,HOME,3937768.4,13.81,36,DEFAULT
LN000114,CUST022272,HOME,1656650.63,14.24,240,CLOSED
LN000115,CUST067568,AUTO,3255839.99,9.27,36,DEFAULT
LN000116,CUST002431,EDUCATION,2607262.85,8.5,24,CLOSED
LN000117,CUST045463,HOME,7721018.88,13.04,60,CLOSED
LN000118,CUST093729,AUTO,8567219.86,7.13,120,DEFAULT
LN000119,CUST042178,EDUCATION,1491563.43,13.98,36,DEFAULT
LN000120,CUST075378,PERSONAL,470911.24,14.09,12,DEFAULT
LN000121,CUST094380,AUTO,9106428.23,12.16,36,ACTIVE
LN000122,CUST076137,HOME,4045924.32,7.48,24,ACTIVE
LN000123,CUST025258,AUTO,8445443.81,14.58,120,CLOSED
LN000124,CUST089427,AUTO,5068715.82,10.09,12,DEFAULT
LN000125,CUST028532,EDUCATION,6383558.48,9.82,24,CLOSED
LN000126,CUST085899,AUTO,5077599.73,10.18,12,CLOSED
LN000127,CUST020372,AUTO,7645607.84,7.45,36,ACTIVE
LN000128,CUST079043,EDUCATION,9951796.08,7.72,36,CLOSED
LN000129,CUST016394,AUTO,2178815.92,13.08,12,ACTIVE
LN000130,CUST026908,HOME,5971703.35,14.67,120,CLOSED
LN000131,CUST046515,EDUCATION,1717320.52,13.07,36,DEFAULT
LN000132,CUST027510,AUTO,5693318.45,14.91,60,ACTIVE
LN000133,CUST067508,HOME,7418797.03,9.62,120,DEFAULT
LN000134,CUST057755,AUTO,1590542.65,9.82,60,CLOSED
LN000135,CUST015723,AUTO,7811380.93,13.74,240,CLOSED
LN000136,CUST051911,PERSONAL,227531.8,9.59,12,ACTIVE
LN000137,CUST052568,PERSONAL,4045966.01,9.71,24,CLOSED
LN000138,CUST032289,HOME,8916494.45,9.46,24,CLOSED
LN000139,CUST075730,HOME,2436796.5,14.44,36,CLOSED
LN000140,CUST022201,AUTO,3945789.9,10.98,60,DEFAULT
LN000141,CUST033370,PERSONAL,8001375.71,14.29,120,CLOSED
LN000142,CUST027979,HOME,3186220.45,7.15,36,DEFAULT
LN000143,CUST028037,EDUCATION,5900023.75,13.17,120,ACTIVE
LN000144,CUST012371,EDUCATION,4350244.63,14.87,36,CLOSED
LN000145,CUST067864,EDUCATION,905674.13,7.37,36,DEFAULT
LN000146,CUST081102,EDUCATION,7035161.23,14.35,12,DEFAULT
LN000147,CUST068587,PERSONAL,2541698.33,13.62,60,ACTIVE
LN000148,CUST034794,EDUCATION,6250708.1,8.54,36,ACTIVE
LN000149,CUST073419,EDUCATION,3156520.38,12.62,240,DEFAULT
LN000150,CUST078191,AUTO,5426790.29,11.45,240,DEFAULT
LN000151,CUST034548,AUTO,4139072.3,12.63,120,ACTIVE
LN000152,CUST005319,PERSONAL,1548769.2,11.36,120,ACTIVE
LN000153,CUST024108,EDUCATION,4780534.02,7.25,240,DEFAULT
LN000154,CUST089585,PERSONAL,3895134.89,12.47,60,ACTIVE
LN000155,CUST056201,PERSONAL,1579844.52,10.98,36,DEFAULT
LN000156,CUST076835,AUTO,5096728.8,7.82,240,DEFAULT
LN000157,CUST059956,PERSONAL,9040840.16,11.13,24,ACTIVE
LN000158,CUST013967,HOME,9357545.3,13.76,24,CLOSED
LN000159,CUST074793,PERSONAL,8051226.01,10.56,60,DEFAULT
LN000160,CUST001981,EDUCATION,8936428.74,11.93,240,ACTIVE
LN000161,CUST072743,HOME,5028648.69,8.99,24,CLOSED
LN000162,CUST008421,PERSONAL,2126544.13,11.29,24,ACTIVE
LN000163,CUST013233,PERSONAL,7013717.06,7.44,60,DEFAULT
LN000164,CUST047443,EDUCATION,8982510.84,12.12,12,DEFAULT
LN000165,CUST060852,PERSONAL,8503510.17,13.43,120,ACTIVE
LN000166,CUST097209,HOME,1821641.12,8.24,120,ACTIVE
LN000167,CUST049157,AUTO,8812041.19,14.64,120,ACTIVE
LN000168,CUST059519,AUTO,4249829.29,9.87,60,CLOSED
LN000169,CUST059619,HOME,9559456.82,12.63,12,ACTIVE
LN000170,CUST024309,PERSONAL,882318.01,13.35,120,DEFAULT
LN000171,CUST033772,EDUCATION,2986005.26,8.24,12,DEFAULT
LN000172,CUST001231,AUTO,5103886.29,13.5,60,ACTIVE
LN000173,CUST095375,PERSONAL,6511497.62,12.51,12,DEFAULT
LN000174,CUST079731,EDUCATION,6627718.48,11.83,240,CLOSED
LN000175,CUST036376,HOME,8994932.75,8.46,60,ACTIVE
LN000176,CUST003608,AUTO,9552436.5,8.95,12,CLOSED
LN000177,CUST093179,EDUCATION,171075.04,7.73,24,DEFAULT
LN000178,CUST074655,AUTO,7195458.24,11.72,120,DEFAULT
LN000179,CUST095094,EDUCATION,3712258.3,9.49,60,CLOSED
LN000180,CUST000060,HOME,4565874.87,14.79,24,ACTIVE
LN000181,CUST069183,PERSONAL,5551107.74,10.51,120,ACTIVE
LN000182,CUST057370,AUTO,7774393.26,8.71,36,ACTIVE
LN000183,CUST020578,PERSONAL,4788159.47,14.85,36,CLOSED
LN000184,CUST043753,AUTO,903850.5,13.21,60,DEFAULT
LN000185,CUST035731,PERSONAL,2332500.52,8.63,60,ACTIVE
LN000186,CUST079524,EDUCATION,6976368.67,7.2,24,CLOSED
LN000187,CUST062131,AUTO,5482632.75,13.67,36,DEFAULT
LN000188,CUST050055,EDUCATION,9892715.19,13.37,60,DEFAULT
LN000189,CUST027314,PERSONAL,3373403.22,8.62,60,CLOSED
LN000190,CUST053605,EDUCATION,4979119.71,13.75,24,DEFAULT
LN000191,CUST033624,AUTO,3486989.12,10.32,12,CLOSED
LN000192,CUST039504,HOME,1884216.24,9.84,12,ACTIVE
LN000193,CUST097787,PERSONAL,3979727.68,13.24,60,DEFAULT
LN000194,CUST005778,AUTO,8111016.79,13.58,120,ACTIVE
LN000195,CUST046807,EDUCATION,9144886.02,8.2,36,CLOSED
LN000196,CUST094033,AUTO,6966464.28,9.91,120,CLOSED
LN000197,CUST056628,HOME,4079535.8,13.88,60,DEFAULT
LN000198,CUST028460,HOME,9839948.18,10.66,24,CLOSED
LN000199,CUST034091,AUTO,419298.15,11.16,36,CLOSED
LN000200,CUST012112,PERSONAL,5764781.8,7.43,120,DEFAULT
LN000201,CUST074366,PERSONAL,3620581.66,11.3,120,DEFAULT
LN000202,CUST016638,HOME,9928603.03,11.26,12,CLOSED
LN000203,CUST089743,PERSONAL,3401972.33,10.89,120,DEFAULT
LN000204,CUST094510,PERSONAL,7202642.44,12.27,24,DEFAULT
LN000205,CUST008333,HOME,6976004.46,10.16,12,DEFAULT
LN000206,CUST082706,AUTO,9365818.86,7.63,240,DEFAULT
LN000207,CUST010906,PERSONAL,9524428.75,7.91,240,DEFAULT
LN000208,CUST018366,HOME,1462022.71,9.63,36,DEFAULT
LN000209,CUST080997,PERSONAL,4211470.69,9.07,24,CLOSED
LN000210,CUST094570,HOME,130800.67,14.13,12,CLOSED
LN000211,CUST068271,AUTO,585513.13,13.96,24,CLOSED
LN000212,CUST069000,PERSONAL,5901543.75,7.72,60,DEFAULT
LN000213,CUST082079,PERSONAL,6751888.66,10.85,240,CLOSED
LN000214,CUST066388,AUTO,6023719.81,7.44,36,ACTIVE
LN000215,CUST034918,EDUCATION,5742579.42,7.68,120,ACTIVE
LN000216,CUST089029,PERSONAL,652309.2,13.46,24,DEFAULT
LN000217,CUST077366,AUTO,9130650.58,11.85,240,ACTIVE
LN000218,CUST017681,HOME,7605340.42,9.28,24,ACTIVE
LN000219,CUST043601,PERSONAL,478665.17,13.46,60,CLOSED
LN000220,CUST075619,HOME,3330339.3,13.93,36,ACTIVE
LN000221,CUST095779,PERSONAL,5101436.16,12.7,12,ACTIVE
LN000222,CUST093438,HOME,5965738.78,12.53,24,ACTIVE
LN000223,CUST089816,HOME,5982551.18,13.07,24,ACTIVE
LN000224,CUST073290,PERSONAL,4317955.43,7.71,12,ACTIVE
LN000225,CUST062333,PERSONAL,2137507.83,7.82,36,DEFAULT
LN000226,CUST097021,AUTO,2184732.32,13.34,60,DEFAULT
LN000227,CUST084010,AUTO,5134035.0,8.65,120,CLOSED
LN000228,CUST027724,EDUCATION,8238863.37,8.87,120,DEFAULT
LN000229,CUST098951,EDUCATION,209147.89,9.98,240,CLOSED
LN000230,CUST058401,AUTO,588331.86,9.92,120,DEFAULT
LN000231,CUST086016,AUTO,8997932.55,13.6,24,ACTIVE
LN000232,CUST005716,EDUCATION,6153081.89,14.72,36,DEFAULT
LN000233,CUST099015,HOME,5150568.44,8.94,36,CLOSED
LN000234,CUST052830,PERSONAL,4020469.65,7.85,120,CLOSED
LN000235,CUST030234,EDUCATION,4471160.55,11.49,24,ACTIVE
LN000236,CUST031530,HOME,509927.33,8.51,36,CLOSED
LN000237,CUST089267,EDUCATION,9075096.74,13.7,36,ACTIVE
LN000238,CUST000586,AUTO,1363836.19,10.58,24,CLOSED
LN000239,CUST090829,PERSONAL,7495170.55,13.76,120,DEFAULT
LN000240,CUST063623,EDUCATION,5378696.44,13.2,12,CLOSED
LN000241,CUST043243,EDUCATION,920308.95,10.14,12,ACTIVE
LN000242,CUST087243,PERSONAL,7565598.87,9.72,240,DEFAULT
LN000243,CUST079856,EDUCATION,2814241.64,7.38,240,CLOSED
LN000244,CUST054719,AUTO,9880761.75,8.46,240,CLOSED
LN000245,CUST081236,HOME,525838.73,9.37,12,ACTIVE
LN000246,CUST058075,PERSONAL,7710239.12,10.71,120,ACTIVE
LN000247,CUST040007,PERSONAL,6442218.08,14.41,12,DEFAULT
LN000248,CUST064224,AUTO,3535723.75,11.02,60,CLOSED
LN000249,CUST058600,HOME,7729535.19,10.62,120,DEFAULT
LN000250,CUST016316,AUTO,3587486.38,9.6,36,ACTIVE
LN000251,CUST057019,PERSONAL,1843714.77,14.4,60,DEFAULT
LN000252,CUST077165,HOME,6715358.14,11.67,24,ACTIVE
LN000253,CUST077387,EDUCATION,8287204.94,8.21,24,DEFAULT
LN000254,CUST046313,AUTO,358688.51,7.18,12,CLOSED
LN000255,CUST007538,AUTO,2749344.99,10.87,60,CLOSED
LN000256,CUST009633,EDUCATION,9996304.79,9.57,24,ACTIVE
LN000257,CUST033045,HOME,216175.6,14.76,12,DEFAULT
LN000258,CUST087846,EDUCATION,1629929.71,10.46,36,ACTIVE
LN000259,CUST022419,PERSONAL,5444964.01,11.7,240,DEFAULT
LN000260,CUST033924,AUTO,7932054.01,14.74,60,CLOSED
LN000261,CUST057163,HOME,5256661.02,8.09,36,CLOSED
LN000262,CUST040805,PERSONAL,9471961.2,9.25,12,DEFAULT
LN000263,CUST075776,HOME,1942208.06,7.42,36,DEFAULT
LN000264,CUST034282,AUTO,3938078.41,8.8,36,DEFAULT
LN000265,CUST059304,PERSONAL,3911362.07,11.56,36,CLOSED
LN000266,CUST026796,EDUCATION,294799.2,9.91,12,CLOSED
LN000267,CUST073539,EDUCATION,4629573.27,8.34,60,CLOSED
LN000268,CUST052549,EDUCATION,9001231.23,7.68,36,ACTIVE
LN000269,CUST068549,HOME,9354805.66,14.67,36,ACTIVE
LN000270,CUST000997,EDUCATION,9495717.18,11.2,36,DEFAULT
LN000271,CUST044312,PERSONAL,6036327.47,12.61,120,ACTIVE
LN000272,CUST050436,EDUCATION,3700987.79,7.38,12,CLOSED
LN000273,CUST056901,PERSONAL,2445289.81,10.67,60,DEFAULT
LN000274,CUST089664,EDUCATION,527348.38,10.17,24,DEFAULT
LN000275,CUST012103,AUTO,5890854.48,14.61,120,CLOSED
LN000276,CUST044302,HOME,5268468.61,11.01,24,CLOSED
LN000277,CUST057230,HOME,7410316.41,8.16,12,CLOSED
LN000278,CUST096395,PERSONAL,2138215.28,10.32,24,DEFAULT
LN000279,CUST015381,HOME,8833375.8,7.22,36,ACTIVE
LN000280,CUST079450,PERSONAL,9235595.83,10.11,60,DEFAULT
LN000281,CUST002146,AUTO,7232851.34,10.15,24,ACTIVE
LN000282,CUST015651,HOME,4515946.32,9.0,36,DEFAULT
LN000283,CUST090865,HOME,9750111.03,14.47,36,CLOSED
LN000284,CUST095612,HOME,5347073.72,12.57,60,ACTIVE
LN000285,CUST008954,PERSONAL,9014866.25,9.41,36,CLOSED
LN000286,CUST066767,HOME,6068345.15,9.36,24,DEFAULT
LN000287,CUST051030,AUTO,1378824.1,14.97,60,ACTIVE
LN000288,CUST086516,PERSONAL,2691894.42,14.33,60,DEFAULT
LN000289,CUST003108,HOME,319829.43,7.98,12,ACTIVE
LN000290,CUST078119,AUTO,1772261.16,13.63,24,ACTIVE
LN000291,CUST042359,EDUCATION,8149628.0,10.55,120,ACTIVE
LN000292,CUST041136,PERSONAL,3207864.83,12.15,120,DEFAULT
LN000293,CUST054023,PERSONAL,4208667.92,11.89,36,DEFAULT
LN000294,CUST057826,EDUCATION,55180.34,14.61,12,ACTIVE
LN000295,CUST036035,EDUCATION,1939191.13,12.58,60,ACTIVE
LN000296,CUST014803,PERSONAL,4396019.01,10.65,240,DEFAULT
LN000297,CUST036505,HOME,8502586.44,9.3,36,CLOSED
LN000298,CUST026904,EDUCATION,5827451.34,11.83,120,CLOSED
LN000299,CUST051841,EDUCATION,9022884.44,14.34,24,CLOSED
LN000300,CUST002861,AUTO,3087525.28,12.79,60,CLOSED
LN000301,CUST050540,AUTO,8742776.0,8.4,24,CLOSED
LN000302,CUST069727,AUTO,6369221.97,14.99,120,DEFAULT
LN000303,CUST087017,AUTO,902233.14,11.21,12,CLOSED
LN000304,CUST079653,EDUCATION,4735697.66,8.63,120,CLOSED
LN000305,CUST054773,AUTO,4873701.71,12.31,12,DEFAULT
LN000306,CUST035906,HOME,6792282.42,10.84,12,DEFAULT
LN000307,CUST091665,PERSONAL,3341396.87,11.09,24,CLOSED
LN000308,CUST088004,PERSONAL,4663173.06,14.16,12,CLOSED
LN000309,CUST004165,AUTO,4403294.27,14.47,60,CLOSED
LN000310,CUST029306,EDUCATION,6160565.05,7.21,120,ACTIVE
LN000311,CUST078797,EDUCATION,9450680.58,12.98,36,CLOSED
LN000312,CUST054492,EDUCATION,9558110.67,8.16,12,DEFAULT
LN000313,CUST051582,HOME,114619.76,14.59,12,CLOSED
LN000314,CUST058073,PERSONAL,5099049.71,11.07,36,ACTIVE
LN000315,CUST050239,HOME,4509654.27,8.51,60,DEFAULT
LN000316,CUST087693,HOME,8598450.41,9.42,12,ACTIVE
LN000317,CUST089878,EDUCATION,9874278.39,9.6,24,CLOSED
LN000318,CUST087830,HOME,5567909.63,11.68,240,CLOSED
LN000319,CUST035472,AUTO,3677269.06,14.88,24,ACTIVE
LN000320,CUST063276,AUTO,7839590.61,8.55,36,DEFAULT
LN000321,CUST008802,PERSONAL,8704756.96,11.91,24,ACTIVE
LN000322,CUST035965,AUTO,8802096.82,12.11,12,ACTIVE
LN000323,CUST000319,AUTO,710475.53,14.22,240,CLOSED
LN000324,CUST071408,EDUCATION,9105800.21,11.79,120,DEFAULT
LN000325,CUST046276,EDUCATION,1236119.23,13.02,120,ACTIVE
LN000326,CUST006946,EDUCATION,6614937.55,10.48,12,ACTIVE
LN000327,CUST049314,AUTO,9154454.34,9.27,36,CLOSED
LN000328,CUST052288,AUTO,192219.71,8.56,60,CLOSED
LN000329,CUST000366,EDUCATION,198177.71,7.07,12,DEFAULT
LN000330,CUST068804,PERSONAL,412323.57,7.64,120,CLOSED
LN000331,CUST002206,HOME,7751018.43,12.28,120,DEFAULT
LN000332,CUST056956,PERSONAL,6058363.18,11.67,120,CLOSED
LN000333,CUST084003,AUTO,3312510.67,14.25,24,CLOSED
LN000334,CUST017258,EDUCATION,3686240.61,7.12,24,DEFAULT
LN000335,CUST083319,HOME,299611.21,9.34,120,ACTIVE
LN000336,CUST060768,HOME,758909.24,14.65,240,CLOSED
LN000337,CUST059802,PERSONAL,8262989.22,7.68,240,ACTIVE
LN000338,CUST079642,EDUCATION,2519709.03,9.1,12,DEFAULT
LN000339,CUST043778,HOME,4296467.18,7.04,60,CLOSED
LN000340,CUST081868,EDUCATION,8422276.02,9.98,36,ACTIVE
LN000341,CUST000195,AUTO,7414272.75,7.55,12,ACTIVE
LN000342,CUST017613,PERSONAL,6562806.59,14.59,240,DEFAULT
LN000343,CUST017928,HOME,6028725.19,13.98,24,ACTIVE
LN000344,CUST073608,EDUCATION,5011244.02,8.29,60,CLOSED
LN000345,CUST070406,EDUCATION,8090054.86,9.06,12,CLOSED
LN000346,CUST059980,AUTO,9985876.85,14.18,36,ACTIVE
LN000347,CUST048744,EDUCATION,7591521.04,12.27,12,DEFAULT
LN000348,CUST095325,AUTO,3818770.69,14.19,12,DEFAULT
LN000349,CUST092612,EDUCATION,9273135.37,7.72,120,CLOSED
LN000350,CUST085508,PERSONAL,1933272.71,11.29,24,CLOSED
LN000351,CUST073103,HOME,8309190.58,9.02,24,CLOSED
LN000352,CUST077901,HOME,8373017.08,13.71,12,CLOSED
LN000353,CUST059624,PERSONAL,8430902.76,8.04,240,ACTIVE
LN000354,CUST053671,AUTO,4103563.02,14.1,240,CLOSED
LN000355,CUST087079,PERSONAL,2458929.68,14.63,36,DEFAULT
LN000356,CUST011259,AUTO,3256717.33,9.68,240,DEFAULT
LN000357,CUST017971,EDUCATION,4150968.07,9.53,240,ACTIVE
LN000358,CUST070476,AUTO,9757186.98,13.8,36,CLOSED
LN000359,CUST008467,HOME,4668007.12,13.51,60,ACTIVE
LN000360,CUST020225,EDUCATION,836664.84,9.68,60,CLOSED
LN000361,CUST035737,HOME,4414056.79,11.44,24,ACTIVE
LN000362,CUST079479,PERSONAL,2154447.41,8.21,36,ACTIVE
LN000363,CUST075366,PERSONAL,9511745.71,13.6,24,CLOSED
LN000364,CUST085471,PERSONAL,5931887.56,11.23,240,DEFAULT
LN000365,CUST072288,HOME,9635097.1,12.74,60,DEFAULT
LN000366,CUST043332,PERSONAL,5237984.22,14.16,24,DEFAULT
LN000367,CUST061425,PERSONAL,5045642.83,7.3,36,CLOSED
LN000368,CUST072502,PERSONAL,4724556.51,13.63,60,ACTIVE
LN000369,CUST031502,PERSONAL,3580842.92,14.18,36,CLOSED
LN000370,CUST082188,HOME,2238868.07,14.83,36,CLOSED
LN000371,CUST096456,AUTO,7785723.97,11.9,240,CLOSED
LN000372,CUST084411,AUTO,2132553.74,12.91,240,CLOSED
LN000373,CUST089857,AUTO,4809935.49,14.47,24,CLOSED
LN000374,CUST000807,AUTO,4593192.59,8.6,36,ACTIVE
LN000375,CUST034617,HOME,425581.12,8.13,120,CLOSED
LN000376,CUST012806,EDUCATION,5776169.02,13.5,24,CLOSED
LN000377,CUST076735,HOME,5613365.51,11.79,36,CLOSED
LN000378,CUST059615,PERSONAL,9262029.42,10.15,240,CLOSED
LN000379,CUST033224,EDUCATION,444586.52,9.05,60,CLOSED
LN000380,CUST056360,HOME,1435030.76,13.85,36,CLOSED
LN000381,CUST058448,AUTO,6042441.97,8.14,60,ACTIVE
LN000382,CUST097927,EDUCATION,6117154.47,11.87,60,ACTIVE
LN000383,CUST033118,PERSONAL,2035875.85,9.38,120,ACTIVE
LN000384,CUST030605,AUTO,3726489.29,9.1,120,CLOSED
LN000385,CUST018077,HOME,4845966.22,11.93,120,DEFAULT
LN000386,CUST057538,PERSONAL,471276.68,14.92,12,ACTIVE
LN000387,CUST000036,PERSONAL,5026696.13,11.24,120,DEFAULT
LN000388,CUST018893,AUTO,2374570.45,14.14,60,CLOSED
LN000389,CUST067394,PERSONAL,1741360.21,14.08,24,DEFAULT
LN000390,CUST020917,HOME,6454548.59,7.97,24,CLOSED
LN000391,CUST029095,AUTO,8003528.04,8.69,240,CLOSED
LN000392,CUST048803,PERSONAL,1490763.64,12.52,120,CLOSED
LN000393,CUST012258,PERSONAL,6514682.37,14.01,12,CLOSED
LN000394,CUST063481,EDUCATION,8616132.84,9.16,60,CLOSED
