fd_id,customer_id,deposit_amount,interest_rate,maturity_date,fd_status
FD000039,CUST067952,2164105.96,6.66,2035-05-02,ACTIVE
FD000040,CUST049253,2001594.16,6.83,2029-11-30,MATURED
FD000041,CUST017941,3037150.13,6.68,2035-09-09,MATURED
FD000042,CUST050920,903109.36,6.87,2033-07-20,ACTIVE
FD000043,CUST008362,94540.23,5.53,2028-08-03,ACTIVE
FD000044,CUST047135,1768999.32,5.73,2030-08-12,ACTIVE
FD000045,CUST056749,939860.21,7.6,2031-11-17,CLOSED
FD000046,CUST090907,2107282.26,5.01,2032-05-14,CLOSED
FD000047,CUST096869,4911656.24,7.57,2027-12-11,ACTIVE
FD000048,CUST022067,1310335.21,5.26,2030-12-31,CLOSED
FD000049,CUST096052,2353705.57,6.48,2033-02-20,MATURED
FD000050,CUST001176,3657936.42,6.78,2028-08-28,ACTIVE
FD000051,CUST065530,4458250.32,6.14,2026-09-30,MATURED
FD000052,CUST085459,1201771.28,7.27,2032-02-08,CLOSED
FD000053,CUST042176,4606551.61,7.96,2028-01-25,CLOSED
FD000054,CUST064950,3810358.38,7.66,2034-02-21,CLOSED
FD000055,CUST020863,4426639.73,7.1,2028-03-17,MATURED
FD000056,CUST058440,4789692.37,5.51,2027-09-10,CLOSED
FD000057,CUST005389,4616824.95,6.56,2032-01-04,ACTIVE
FD000058,CUST040905,2359173.0,6.07,2029-11-05,CLOSED
FD000059,CUST015945,2959920.64,6.1,2027-10-29,CLOSED
FD000060,CUST057779,656339.72,7.66,2033-04-11,MATURED
FD000061,CUST030307,1892043.4,7.84,2035-09-21,MATURED
FD000062,CUST036880,1213097.8,5.83,2027-05-22,ACTIVE
FD000063,CUST033430,4304668.31,5.61,2028-03-12,MATURED
FD000064,CUST033716,3873461.92,6.85,2033-08-23,CLOSED
FD000065,CUST046154,1555055.24,7.52,2033-01-01,ACTIVE
FD000066,CUST032873,123882.42,5.42,2027-08-18,MATURED
FD000067,CUST081239,662436.32,6.29,2028-03-21,MATURED
FD000068,CUST052713,1405387.3,6.05,2029-02-18,ACTIVE
FD000069,CUST060469,2352801.51,6.63,2032-07-10,CLOSED
FD000070,CUST052260,1932589.18,5.69,2034-04-14,CLOSED
FD000071,CUST005453,4282432.89,7.17,2031-02-14,CLOSED
FD000072,CUST005000,4445012.19,7.76,2029-09-14,CLOSED
FD000073,CUST056874,162181.3,6.25,2036-02-23,ACTIVE
FD000074,CUST039566,893588.5,5.8,2034-11-25,ACTIVE
FD000075,CUST088420,2048145.6,6.74,2032-12-11,ACTIVE
FD000076,CUST002345,1416452.11,7.46,2031-12-16,ACTIVE
FD000077,CUST015000,1004917.69,7.35,2027-09-23,MATURED
FD000078,CUST011700,4164162.81,7.5,2033-01-25,ACTIVE
FD000079,CUST031536,1141804.68,6.0,2033-05-31,MATURED
FD000080,CUST025259,1476056.45,6.59,2036-01-04,CLOSED
FD000081,CUST075280,1764767.3,7.58,2036-04-28,MATURED
FD000082,CUST046330,1941110.51,5.25,2032-07-19,ACTIVE
FD000083,CUST076849,371271.72,6.01,2034-05-23,CLOSED
FD000084,CUST020308,2220639.19,7.01,2034-06-10,CLOSED
FD000085,CUST030321,1262796.98,6.64,2029-12-10,CLOSED
FD000086,CUST041268,3228867.57,6.31,2028-12-13,CLOSED
FD000087,CUST062998,1733049.7,5.9,2036-03-17,MATURED
FD000088,CUST048940,1075238.44,5.33,2033-10-27,CLOSED
FD000089,CUST091367,4290868.26,5.73,2031-03-04,MATURED
FD000090,CUST016231,197661.2,7.14,2029-04-19,MATURED
FD000091,CUST057639,2823786.99,5.9,2036-03-08,ACTIVE
FD000092,CUST049158,3628895.87,7.53,2032-07-28,MATURED
FD000093,CUST087583,1579285.54,6.26,2028-08-31,MATURED
FD000094,CUST090044,2257681.2,5.89,2032-06-11,CLOSED
FD000095,CUST027114,1019657.9,7.56,2032-02-08,CLOSED
FD000096,CUST048463,551641.15,5.94,2026-12-28,CLOSED
FD000097,CUST077832,1465096.18,5.24,2031-02-16,MATURED
FD000098,CUST062288,1035079.89,7.61,2028-08-14,CLOSED
FD000099,CUST038732,2737713.67,5.42,2032-01-22,ACTIVE
FD000100,CUST004888,4201923.02,7.01,2029-02-21,CLOSED
FD000101,CUST000137,3708624.17,6.46,2034-11-06,CLOSED
FD000102,CUST099132,2266139.86,6.46,2033-04-29,ACTIVE
FD000103,CUST090863,1067505.38,7.1,2028-07-19,ACTIVE
FD000104,CUST081263,208846.67,5.76,2028-07-15,ACTIVE
FD000105,CUST095870,1921228.46,6.52,2028-02-26,MATURED
FD000106,CUST023133,589118.25,7.49,2034-09-26,ACTIVE
FD000107,CUST014861,4733161.67,6.67,2033-04-11,CLOSED
FD000108,CUST015727,2891758.71,6.27,2033-02-04,MATURED
FD000109,CUST015071,4670068.62,7.15,2034-05-07,ACTIVE
FD000110,CUST090207,2063106.86,5.4,2027-11-24,CLOSED
FD000111,CUST009041,4726797.25,7.3,2034-07-27,MATURED
FD000112,CUST052229,2206740.88,5.81,2033-12-11,CLOSED
FD000113,CUST079973,4812335.05,5.95,2030-10-03,CLOSED
FD000114,CUST065949,1995344.16,6.81,2035-02-17,MATURED
FD000115,CUST037414,1114609.54,6.17,2034-03-27,MATURED
FD000116,CUST009078,716052.42,7.53,2033-04-28,CLOSED
FD000117,CUST007562,3558483.6,6.69,2031-09-15,MATURED
FD000118,CUST072838,1394050.94,6.05,2035-11-12,CLOSED
FD000119,CUST012712,589977.3,6.54,2033-10-27,CLOSED
FD000120,CUST092145,4138122.56,5.18,2035-10-25,CLOSED
FD000121,CUST022089,3621736.03,6.29,2035-11-07,CLOSED
FD000122,CUST068222,4871157.04,6.5,2034-07-13,MATURED
FD000123,CUST079335,2513864.06,5.89,2032-12-17,ACTIVE
FD000124,CUST011859,4379477.21,6.94,2029-10-06,MATURED
FD000125,CUST092628,2268356.59,5.74,2031-07-31,MATURED
FD000126,CUST099512,4826209.62,6.36,2036-06-17,CLOSED
FD000127,CUST020907,3170845.92,6.02,2033-12-14,CLOSED
FD000128,CUST098866,1811210.34,5.31,2033-08-17,CLOSED
FD000129,CUST068015,2568965.75,7.62,2035-10-01,MATURED
FD000130,CUST003054,2741145.1,6.69,2030-06-09,CLOSED
FD000131,CUST087949,4098446.95,7.41,2028-06-09,CLOSED
FD000132,CUST023836,773613.48,7.51,2031-09-27,ACTIVE
FD000133,CUST031244,2962230.07,6.73,2035-07-20,MATURED
FD000134,CUST043515,4216712.8,5.62,2031-06-17,MATURED
FD000135,CUST094552,3842773.7,5.77,2036-05-08,CLOSED
FD000136,CUST070752,3348433.59,6.08,2034-10-03,ACTIVE
FD000137,CUST081493,3100585.88,5.78,2034-08-05,MATURED
FD000138,CUST066327,313186.3,7.36,2028-07-05,CLOSED
FD000139,CUST070016,2495757.64,5.23,2034-03-06,ACTIVE
FD000140,CUST063355,4973396.78,7.79,2030-04-13,ACTIVE
FD000141,CUST082503,2925432.22,5.1,2028-11-21,CLOSED
FD000142,CUST065594,2242087.3,6.84,2036-05-02,ACTIVE
FD000143,CUST037914,2254529.61,7.2,2032-02-27,CLOSED
FD000144,CUST091428,4774099.94,6.65,2028-07-24,MATURED
FD000145,CUST025318,1095431.9,7.89,2030-04-03,MATURED
FD000146,CUST052398,655029.91,6.71,2030-06-08,MATURED
FD000147,CUST055777,3668752.55,5.57,2034-07-03,ACTIVE
FD000148,CUST081960,1099510.96,7.22,2031-01-17,ACTIVE
FD000149,CUST086100,3248976.66,7.35,2027-06-13,CLOSED
FD000150,CUST046981,1975248.74,6.1,2029-12-23,MATURED
FD000151,CUST018723,1952251.05,6.47,2028-03-27,MATURED
FD000152,CUST076193,3589008.11,6.44,2031-01-22,ACTIVE
FD000153,CUST078517,94441.36,5.94,2031-02-13,CLOSED
FD000154,CUST035535,598109.55,7.47,2035-11-25,MATURED
FD000155,CUST078286,4789124.51,5.93,2031-10-26,MATURED
FD000156,CUST009361,3361053.89,7.86,2030-02-13,ACTIVE
FD000157,CUST091874,117540.75,5.23,2029-09-11,MATURED
FD000158,CUST025715,2533250.7,7.41,2034-04-01,MATURED
FD000159,CUST012863,3873378.62,5.69,2033-11-30,CLOSED
FD000160,CUST088622,1234052.5,6.78,2029-08-10,CLOSED
FD000161,CUST011612,2353825.43,6.47,2028-09-25,MATURED
FD000162,CUST084374,2262929.81,7.01,2028-11-07,MATURED
FD000163,CUST003042,2762507.06,7.59,2035-12-12,CLOSED
FD000164,CUST089134,3098686.22,6.64,2034-11-23,MATURED
FD000165,CUST060568,2634854.84,6.36,2034-08-24,MATURED
FD000166,CUST033796,4419862.01,7.78,2035-05-24,MATURED
FD000167,CUST065989,4257422.46,6.62,2028-02-15,MATURED
FD000168,CUST052006,3384571.24,5.41,2033-01-15,CLOSED
FD000169,CUST076188,3218130.5,7.95,2028-03-04,CLOSED
FD000170,CUST087080,1330983.17,7.87,2027-04-07,ACTIVE
FD000171,CUST010687,322849.0,7.38,2030-09-13,CLOSED
FD000172,CUST042659,4614599.46,5.32,2030-09-25,MATURED
FD000173,CUST051512,3740846.35,6.93,2028-12-05,MATURED
FD000174,CUST098617,1352847.53,5.15,2030-10-07,MATURED
FD000175,CUST035307,296960.96,7.92,2031-07-13,MATURED
FD000176,CUST085332,2582272.86,7.53,2031-08-27,MATURED
FD000177,CUST098821,3275749.45,7.01,2035-03-15,ACTIVE
FD000178,CUST029433,4078400.83,6.59,2036-05-18,MATURED
FD000179,CUST054632,3164812.79,6.04,2031-02-16,MATURED
FD000180,CUST042668,732651.06,5.54,2035-10-28,ACTIVE
FD000181,CUST047614,4280374.02,5.26,2031-03-15,MATURED
FD000182,CUST081088,1529295.59,6.02,2033-11-19,ACTIVE
FD000183,CUST038287,193541.49,7.81,2032-06-25,ACTIVE
FD000184,CUST005781,3249482.21,7.61,2029-11-19,MATURED
FD000185,CUST000630,651649.16,7.49,2027-11-07,ACTIVE
FD000186,CUST066722,248817.22,7.51,2027-10-06,ACTIVE
FD000187,CUST088767,2421523.79,6.69,2033-01-17,ACTIVE
FD000188,CUST074787,3996221.45,5.45,2026-10-06,MATURED
FD000189,CUST042214,523514.54,6.55,2034-12-27,ACTIVE
FD000190,CUST042791,1192804.65,6.84,2029-08-05,CLOSED
FD000191,CUST035630,3078448.74,5.54,2029-07-30,MATURED
FD000192,CUST012647,3327898.23,5.87,2028-11-20,MATURED
FD000193,CUST095225,395549.33,7.24,2036-06-17,ACTIVE
FD000194,CUST035892,1485939.33,5.22,2028-07-04,CLOSED
FD000195,CUST055044,3836502.69,6.67,2032-05-11,MATURED
FD000196,CUST017955,1714236.42,7.9,2033-03-22,ACTIVE
FD000197,CUST023376,745484.55,7.29,2026-09-10,ACTIVE
FD000198,CUST006810,4909850.62,6.84,2034-10-15,ACTIVE
FD000199,CUST039039,4969124.46,7.92,2035-08-23,MATURED
FD000200,CUST048284,4705989.84,5.88,2027-09-27,ACTIVE
FD000201,CUST080834,1984480.19,6.27,2030-12-24,CLOSED
FD000202,CUST051563,2436416.87,7.53,2034-10-30,ACTIVE
FD000203,CUST048694,2389014.86,6.62,2026-12-22,CLOSED
FD000204,CUST099476,2750837.76,5.78,2031-04-27,MATURED
FD000205,CUST040916,2566090.3,5.4,2036-03-08,MATURED
FD000206,CUST001548,4174252.78,7.34,2034-05-27,ACTIVE
FD000207,CUST051264,4278292.52,7.46,2031-06-11,CLOSED
FD000208,CUST014356,1815018.6,5.46,2034-04-18,CLOSED
FD000209,CUST003170,3769587.4,7.75,2034-07-28,ACTIVE
FD000210,CUST016346,4658973.73,6.81,2032-04-26,CLOSED
FD000211,CUST080661,3755934.34,6.75,2027-10-24,ACTIVE
FD000212,CUST029712,4667262.74,6.96,2034-02-09,MATURED
FD000213,CUST091012,1719687.05,5.53,2027-02-17,MATURED
FD000214,CUST004160,361751.06,6.54,2027-08-26,ACTIVE
FD000215,CUST007109,669911.11,7.0,2028-10-14,MATURED
FD000216,CUST085377,2615715.06,6.81,2027-06-23,CLOSED
FD000217,CUST088985,2194135.99,6.43,2030-08-04,ACTIVE
FD000218,CUST010555,2960686.92,5.1,2032-09-18,CLOSED
FD000219,CUST010129,1203205.28,7.88,2027-09-24,ACTIVE
FD000220,CUST071544,1083938.67,7.6,2035-09-02,ACTIVE
FD000221,CUST083418,3101322.97,6.09,2029-02-13,ACTIVE
FD000222,CUST053931,1226594.57,5.04,2032-06-12,MATURED
FD000223,CUST032387,1672493.68,5.88,2027-12-25,ACTIVE
FD000224,CUST070184,2584706.09,5.86,2026-09-21,MATURED
FD000225,CUST096671,1677836.63,5.37,2032-06-12,CLOSED
FD000226,CUST062968,3242411.14,7.13,2027-10-09,MATURED
FD000227,CUST042841,1184529.14,5.29,2035-04-26,MATURED
FD000228,CUST001537,2563416.98,6.88,2032-04-08,CLOSED
FD000229,CUST024384,562901.54,5.07,2030-08-07,MATURED
FD000230,CUST089335,2665081.03,6.0,2032-09-17,CLOSED
FD000231,CUST054421,1939869.59,6.36,2030-02-14,MATURED
FD000232,CUST088694,3665480.41,6.66,2030-08-12,MATURED
FD000233,CUST037871,335457.39,6.49,2027-03-17,MATURED
FD000234,CUST038447,4994274.92,5.83,2035-09-28,ACTIVE
FD000235,CUST057566,3602368.17,5.37,2033-06-08,MATURED
FD000236,CUST080139,4096892.86,6.82,2031-01-02,MATURED
FD000237,CUST005577,1355974.44,6.75,2032-09-08,MATURED
FD000238,CUST042098,4131239.49,7.52,2033-11-16,MATURED
FD000239,CUST063412,4922177.42,5.0,2026-11-25,MATURED
FD000240,CUST049873,766081.05,5.75,2028-10-16,ACTIVE
FD000241,CUST056126,1949883.74,7.52,2034-03-26,MATURED
FD000242,CUST089455,2740570.65,5.21,2034-11-18,ACTIVE
FD000243,CUST077496,810425.7,7.73,2035-05-31,MATURED
FD000244,CUST070499,1137372.65,7.55,2031-08-11,CLOSED
FD000245,CUST074466,930227.31,7.33,2028-06-30,CLOSED
FD000246,CUST063510,4727807.46,5.21,2028-09-09,CLOSED
FD000247,CUST077727,1778329.64,6.67,2031-06-08,MATURED
FD000248,CUST008633,2447948.39,5.65,2028-04-07,ACTIVE
FD000249,CUST008099,1268808.62,6.61,2031-11-24,ACTIVE
FD000250,CUST072169,1398118.8,6.12,2033-07-10,MATURED
FD000251,CUST098288,3666341.38,6.21,2036-03-11,CLOSED
FD000252,CUST088989,554393.11,5.72,2027-01-23,ACTIVE
FD000253,CUST000992,3183084.68,5.71,2027-06-19,CLOSED
FD000254,CUST089892,1593080.7,5.97,2030-11-08,MATURED
FD000255,CUST043269,391260.18,6.78,2034-06-13,CLOSED
FD000256,CUST013970,3892475.36,5.55,2028-11-29,CLOSED
FD000257,CUST081877,2709141.86,6.59,2034-12-12,MATURED
FD000258,CUST028914,4377440.67,5.88,2027-10-01,ACTIVE
FD000259,CUST080016,4613421.56,5.14,2036-06-26,MATURED
FD000260,CUST057188,4252024.16,6.63,2031-06-27,MATURED
FD000261,CUST018806,2706167.34,6.69,2028-04-03,CLOSED
FD000262,CUST089159,752312.41,6.18,2034-07-27,ACTIVE
FD000263,CUST030354,906724.17,7.88,2036-06-08,ACTIVE
FD000264,CUST012189,490795.26,6.84,2029-03-03,CLOSED
FD000265,CUST057946,4836573.28,6.05,2032-03-20,ACTIVE
FD000266,CUST098021,1113816.53,7.52,2035-03-18,MATURED
FD000267,CUST057139,1091042.39,6.12,2028-11-26,ACTIVE
FD000268,CUST003118,291323.88,7.77,2030-05-27,MATURED
FD000269,CUST048510,4771883.08,6.65,2035-02-11,CLOSED
FD000270,CUST029560,375412.36,6.56,2028-10-23,CLOSED
FD000271,CUST008438,4463747.01,6.45,2032-05-30,CLOSED
FD000272,CUST077471,2685449.43,7.88,2030-10-03,MATURED
FD000273,CUST003671,115931.85,7.82,2030-05-04,CLOSED
FD000274,CUST063100,2157330.54,7.4,2026-10-25,ACTIVE
FD000275,CUST076669,4705008.31,6.73,2033-04-15,CLOSED
FD000276,CUST007378,3652919.79,5.1,2034-07-09,ACTIVE
FD000277,CUST051983,1782085.46,6.55,2034-11-19,MATURED
FD000278,CUST011928,1841114.58,5.78,2035-06-11,ACTIVE
FD000279,CUST059772,4888019.12,5.75,2028-12-01,ACTIVE
FD000280,CUST028373,3672733.17,5.3,2028-06-27,ACTIVE
FD000281,CUST062556,3452979.78,5.9,2035-05-01,MATURED
FD000282,CUST078823,3601359.58,5.69,2031-08-04,MATURED
FD000283,CUST008577,4141524.36,7.22,2033-01-11,CLOSED
FD000284,CUST078606,2348184.58,7.85,2035-10-05,MATURED
FD000285,CUST041368,3148452.76,5.62,2033-12-29,MATURED
FD000286,CUST060092,2640355.82,7.06,2027-01-16,CLOSED
FD000287,CUST056475,4996961.33,6.99,2035-05-18,CLOSED
FD000288,CUST023265,2658683.15,5.18,2036-04-18,ACTIVE
FD000289,CUST064002,4737147.82,6.18,2032-02-09,ACTIVE
FD000290,CUST011668,2534457.75,6.29,2031-06-14,CLOSED
FD000291,CUST006736,4088296.58,6.27,2035-04-27,CLOSED
FD000292,CUST073072,4409753.51,7.27,2027-06-03,ACTIVE
FD000293,CUST020058,1858922.25,6.29,2033-01-10,CLOSED
FD000294,CUST060107,101933.54,7.62,2035-06-22,CLOSED
FD000295,CUST074695,4547716.85,7.05,2029-10-20,CLOSED
FD000296,CUST025780,1950666.47,7.57,2028-02-14,CLOSED
FD000297,CUST051863,3254452.21,7.7,2027-03-02,ACTIVE
FD000298,CUST054624,1604565.13,7.13,2029-01-24,ACTIVE
FD000299,CUST047265,941690.78,5.77,2030-03-28,ACTIVE
FD000300,CUST032781,973367.68,5.11,2036-04-10,MATURED
FD000301,CUST031222,3295306.01,5.66,2029-09-30,MATURED
FD000302,CUST005202,928565.2,6.5,2030-05-13,MATURED
FD000303,CUST030183,1161974.95,6.14,2032-11-22,CLOSED
FD000304,CUST003703,3392293.75,5.0,2027-01-12,ACTIVE
FD000305,CUST094694,1747829.47,7.95,2031-12-27,MATURED
FD000306,CUST097110,3179442.42,6.85,2036-02-13,CLOSED
FD000307,CUST096254,1303817.68,7.51,2028-05-06,CLOSED
FD000308,CUST003066,823547.36,7.82,2034-05-12,ACTIVE
FD000309,CUST025593,3322229.7,6.51,2029-05-28,CLOSED
FD000310,CUST073424,4022891.64,7.14,2027-01-20,MATURED
FD000311,CUST096391,4249063.82,7.97,2033-03-08,ACTIVE
FD000312,CUST075487,3900863.0,5.58,2028-05-13,ACTIVE
FD000313,CUST044952,337498.48,7.44,2034-07-23,CLOSED
FD000314,CUST055707,4966285.39,5.67,2036-04-30,MATURED
FD000315,CUST097762,1884747.62,5.94,2030-08-28,MATURED
FD000316,CUST086329,1984488.22,7.13,2026-09-09,ACTIVE
FD000317,CUST098423,4402230.16,5.82,2028-05-08,CLOSED
FD000318,CUST003523,2041768.12,5.23,2031-03-10,MATURED
FD000319,CUST044503,3463462.49,7.71,2027-04-27,MATURED
FD000320,CUST068820,1573940.76,5.93,2034-01-14,CLOSED
FD000321,CUST081570,2178562.08,5.06,2035-01-04,ACTIVE
FD000322,CUST008254,3268166.53,6.49,2027-08-08,MATURED
FD000323,CUST059508,1729466.97,5.07,2033-08-17,CLOSED
FD000324,CUST060498,846358.16,6.09,2035-02-18,CLOSED
FD000325,CUST029591,3811436.01,7.3,2033-11-09,CLOSED
FD000326,CUST067351,1913982.54,6.49,2034-11-02,MATURED
FD000327,CUST067455,3431916.98,6.22,2036-05-06,MATURED
FD000328,CUST031654,4189562.45,5.32,2031-08-10,ACTIVE
FD000329,CUST018873,59415.97,7.39,2030-07-27,MATURED
FD000330,CUST047225,4333396.09,7.89,2032-09-17,ACTIVE
FD000331,CUST074774,1844831.55,6.14,2028-05-28,CLOSED
FD000332,CUST027995,3305030.42,5.04,2033-06-21,CLOSED
FD000333,CUST070460,1489758.25,7.43,2031-12-03,MATURED
FD000334,CUST043111,3679650.15,7.52,2028-09-13,CLOSED
FD000335,CUST028829,3363457.87,5.05,2031-07-13,MATURED
FD000336,CUST004323,1873417.82,7.54,2031-07-09,MATURED
FD000337,CUST057098,1750936.19,7.68,2027-09-30,MATURED
FD000338,CUST006875,3939974.83,6.06,2028-06-30,MATURED
FD000339,CUST085823,4516616.56,5.49,2032-10-17,MATURED
FD000340,CUST011628,1512288.53,7.64,2032-07-07,CLOSED
FD000341,CUST002094,4302912.64,5.92,2033-10-28,ACTIVE
FD000342,CUST028326,3168182.2,6.81,2029-12-05,ACTIVE
FD000343,CUST089876,253290.91,7.6,2029-08-15,ACTIVE
FD000344,CUST077299,4888175.28,7.77,2035-03-21,CLOSED
FD000345,CUST062592,4556684.83,6.43,2030-10-13,ACTIVE
FD000346,CUST026870,2857138.44,5.57,2031-03-25,ACTIVE
FD000347,CUST052613,2312380.09,5.08,2032-07-04,ACTIVE
FD000348,CUST083540,1039402.37,6.55,2032-09-30,CLOSED
FD000349,CUST053078,2661812.03,7.2,2027-11-10,CLOSED
FD000350,CUST019464,4779676.96,5.93,2034-08-17,ACTIVE
FD000351,CUST016598,2642656.44,7.06,2035-09-25,ACTIVE
FD000352,CUST054320,4523078.08,6.34,2036-04-17,CLOSED
FD000353,CUST099671,672006.1,7.52,2032-01-01,ACTIVE
FD000354,CUST016591,2149754.73,7.88,2027-04-21,ACTIVE
FD000355,CUST035222,3743242.49,5.36,2026-10-06,ACTIVE
FD000356,CUST077382,2036237.73,7.14,2027-11-05,ACTIVE
FD000357,CUST010333,362547.51,7.91,2030-07-10,MATURED
FD000358,CUST002045,2987508.75,5.57,2032-03-14,MATURED
FD000359,CUST000174,744920.65,7.25,2033-08-18,ACTIVE
FD000360,CUST099679,2427824.31,7.55,2034-01-06,MATURED
FD000361,CUST049078,3048114.79,5.66,2033-02-06,CLOSED
FD000362,CUST037291,3382017.71,6.21,2035-07-18,MATURED
FD000363,CUST063896,4250145.93,5.83,2036-03-20,CLOSED
FD000364,CUST051539,115849.69,6.51,2029-05-12,CLOSED
FD000365,CUST025263,4002062.95,5.05,2030-06-19,MATURED
FD000366,CUST011011,3322468.76,7.84,2032-08-21,MATURED
FD000367,CUST063205,230568.72,6.36,2031-06-06,MATURED
FD000368,CUST036802,1226614.95,7.15,2027-12-24,ACTIVE
FD000369,CUST044637,4742256.58,7.84,2034-07-20,CLOSED
FD000370,CUST018718,2232578.44,6.26,2035-06-08,CLOSED
FD000371,CUST076280,2195357.38,6.51,2029-08-01,ACTIVE
FD000372,CUST066463,145030.66,6.51,2036-03-10,ACTIVE
FD000373,CUST080375,2667482.93,5.64,2031-11-01,CLOSED
FD000374,CUST096769,3553703.35,6.24,2032-11-21,ACTIVE
FD000375,CUST015413,4804995.7,7.2,2032-09-22,ACTIVE
FD000376,CUST055389,329422.41,5.32,2029-07-01,CLOSED
FD000377,CUST059005,4505289.62,6.79,2035-12-15,CLOSED
FD000378,CUST047613,513619.91,5.59,2029-07-14,MATURED
FD000379,CUST033359,4644830.15,7.61,2036-02-18,MATURED
FD000380,CUST056038,817602.94,6.9,2034-06-27,CLOSED
FD000381,CUST043600,1061944.98,5.86,2026-10-07,ACTIVE
FD000382,CUST008703,2398143.18,6.71,2029-05-29,MATURED
FD000383,CUST057970,4778244.29,7.65,2028-10-31,ACTIVE
FD000384,CUST032543,4670097.22,5.69,2034-12-04,CLOSED
FD000385,CUST095330,1914914.13,6.57,2028-05-23,ACTIVE
FD000386,CUST011779,1431670.83,7.61,2028-10-28,MATURED
FD000387,CUST030796,3699480.62,6.03,2028-08-15,MATURED
FD000388,CUST065182,3382579.72,7.65,2032-08-11,CLOSED
FD000389,CUST063980,566475.75,7.86,2028-04-04,CLOSED
FD000390,CUST022436,2142382.96,5.01,2031-03-10,MATURED
FD000391,CUST063590,4067561.26,7.2,2028-11-01,ACTIVE
FD000392,CUST051260,3949249.6,6.87,2030-10-01,MATURED
FD000393,CUST052755,994839.14,6.52,2031-01-12,ACTIVE
FD000394,CUST022094,4226729.05,5.16,2027-05-01,CLOSED
FD000395,CUST057878,122000.56,7.12,2032-08-08,MATURED
FD000396,CUST078317,306415.58,6.57,2028-12-15,CLOSED
FD000397,CUST021853,3370573.87,6.8,2026-12-16,CLOSED
FD000398,CUST046226,3041258.63,5.82,2035-04-13,MATURED
FD000399,CUST053083,2733447.24,7.39,2028-12-10,CLOSED
FD000400,CUST056973,2399176.0,5.74,2032-02-13,MATURED
FD000401,CUST002669,1565966.77,5.06,2029-02-23,ACTIVE
FD000402,CUST046836,889592.15,6.79,2035-11-24,MATURED
FD000403,CUST083871,3656404.24,6.59,2028-12-05,CLOSED
FD000404,CUST080326,3123781.58,5.81,2036-07-09,MATURED
FD000405,CUST084453,341652.21,6.9,2030-06-12,MATURED
FD000406,CUST086282,1582055.67,6.91,2034-06-28,CLOSED
FD000407,CUST031674,2517557.73,5.21,2029-04-21,ACTIVE
FD000408,CUST047206,1801591.07,5.7,2034-07-20,CLOSED
FD000409,CUST044799,2446719.58,7.33,2028-01-24,CLOSED
FD000410,CUST079513,3362448.03,6.2,2030-03-27,ACTIVE
FD000411,CUST013983,3795180.53,7.14,2032-12-29,MATURED
FD000412,CUST093513,3603136.32,5.3,2027-07-16,CLOSED
