card_id,account_id,card_type,network,issue_date,expiry_date,card_status
CARD000035,ACC0054048,Debit,Mastercard,2025-05-15,2030-05-16,ACTIVE
CARD000036,ACC0044217,Credit,Visa,2023-12-12,2028-03-26,EXPIRED
CARD000037,ACC0189442,Credit,RuPay,2024-09-09,2028-10-17,EXPIRED
CARD000038,ACC0120505,Debit,Mastercard,2024-03-10,2028-06-28,EXPIRED
CARD000039,ACC0066017,Credit,Mastercard,2021-03-08,2028-09-16,BLOCKED
CARD000040,ACC0169523,Credit,Visa,2025-03-25,2031-05-18,ACTIVE
CARD000041,ACC0111335,Debit,RuPay,2023-03-30,2030-08-06,BLOCKED
CARD000042,ACC0039297,Credit,Mastercard,2022-06-24,2032-05-20,ACTIVE
CARD000043,ACC0066196,Debit,Mastercard,2020-01-29,2031-07-25,ACTIVE
CARD000044,ACC0079831,Credit,Mastercard,2024-02-12,2029-12-21,BLOCKED
CARD000045,ACC0033849,Debit,RuPay,2021-05-12,2028-04-09,BLOCKED
CARD000046,ACC0083171,Debit,RuPay,2023-08-18,2031-10-03,BLOCKED
CARD000047,ACC0160475,Credit,Mastercard,2024-05-26,2032-02-12,EXPIRED
CARD000048,ACC0099006,Debit,Mastercard,2019-02-16,2027-11-01,EXPIRED
CARD000049,ACC0100939,Credit,RuPay,2021-12-01,2027-11-09,EXPIRED
CARD000050,ACC0191298,Debit,Mastercard,2020-10-10,2029-05-07,BLOCKED
CARD000051,ACC0179355,Debit,Visa,2020-12-26,2028-05-17,ACTIVE
CARD000052,ACC0104085,Credit,Visa,2020-02-20,2028-09-02,EXPIRED
CARD000053,ACC0001669,Debit,Visa,2022-07-23,2030-02-25,ACTIVE
CARD000054,ACC0142091,Credit,Mastercard,2022-01-02,2028-07-30,ACTIVE
CARD000055,ACC0193461,Debit,Mastercard,2021-02-16,2028-06-05,ACTIVE
CARD000056,ACC0091910,Credit,Mastercard,2018-11-05,2030-05-13,ACTIVE
CARD000057,ACC0109357,Debit,Mastercard,2024-10-04,2030-03-30,EXPIRED
CARD000058,ACC0183772,Debit,Visa,2018-10-29,2030-11-04,EXPIRED
CARD000059,ACC0060696,Credit,Visa,2023-05-21,2029-11-24,ACTIVE
CARD000060,ACC0154579,Credit,Mastercard,2019-01-18,2031-09-30,ACTIVE
CARD000061,ACC0008545,Credit,Visa,2020-12-17,2030-05-15,EXPIRED
CARD000062,ACC0107316,Credit,Mastercard,2021-10-18,2031-09-05,BLOCKED
CARD000063,ACC0189326,Debit,RuPay,2019-09-01,2032-03-08,BLOCKED
CARD000064,ACC0197731,Debit,RuPay,2019-10-31,2032-06-18,BLOCKED
CARD000065,ACC0139683,Credit,Mastercard,2023-12-27,2028-03-02,ACTIVE
CARD000066,ACC0114407,Debit,RuPay,2021-05-23,2030-05-20,EXPIRED
CARD000067,ACC0026080,Credit,Mastercard,2024-09-30,2031-03-28,EXPIRED
CARD000068,ACC0033181,Debit,RuPay,2021-11-04,2031-11-14,BLOCKED
CARD000069,ACC0129408,Credit,Mastercard,2021-07-07,2030-03-07,EXPIRED
CARD000070,ACC0165568,Credit,Mastercard,2020-12-11,2031-06-29,ACTIVE
CARD000071,ACC0048675,Credit,Mastercard,2021-01-25,2028-02-12,BLOCKED
CARD000072,ACC0191519,Debit,RuPay,2021-12-21,2029-10-01,BLOCKED
CARD000073,ACC0042844,Debit,Visa,2021-04-28,2030-07-19,BLOCKED
CARD000074,ACC0045981,Debit,Visa,2019-12-02,2031-12-26,ACTIVE
CARD000075,ACC0035902,Debit,RuPay,2020-02-25,2028-12-31,ACTIVE
CARD000076,ACC0143674,Credit,RuPay,2019-01-25,2027-09-30,EXPIRED
CARD000077,ACC0108574,Debit,Visa,2025-02-27,2029-01-27,ACTIVE
CARD000078,ACC0145494,Credit,Mastercard,2025-02-07,2031-10-17,BLOCKED
CARD000079,ACC0060031,Debit,Mastercard,2020-01-02,2030-08-09,BLOCKED
CARD000080,ACC0182327,Debit,RuPay,2023-08-23,2032-04-07,EXPIRED
CARD000081,ACC0145012,Debit,RuPay,2021-08-28,2031-02-03,ACTIVE
CARD000082,ACC0052025,Credit,Mastercard,2024-04-06,2028-11-30,ACTIVE
CARD000083,ACC0059738,Credit,RuPay,2024-07-26,2030-08-13,EXPIRED
CARD000084,ACC0033704,Debit,Mastercard,2019-05-30,2029-11-25,EXPIRED
CARD000085,ACC0174138,Debit,Mastercard,2023-05-02,2029-09-20,ACTIVE
CARD000086,ACC0042889,Debit,Mastercard,2023-11-10,2027-08-18,EXPIRED
CARD000087,ACC0073242,Credit,Mastercard,2025-02-13,2027-10-01,EXPIRED
CARD000088,ACC0198415,Credit,Mastercard,2022-09-15,2031-04-08,EXPIRED
CARD000089,ACC0164030,Debit,RuPay,2021-11-12,2027-09-22,BLOCKED
CARD000090,ACC0164186,Debit,Visa,2024-01-21,2028-09-08,BLOCKED
CARD000091,ACC0098926,Credit,RuPay,2023-02-24,2030-02-28,EXPIRED
CARD000092,ACC0056864,Debit,RuPay,2022-01-03,2031-05-23,ACTIVE
CARD000093,ACC0053704,Credit,Visa,2021-09-27,2029-12-30,ACTIVE
CARD000094,ACC0031247,Debit,Mastercard,2023-08-28,2027-09-24,BLOCKED
CARD000095,ACC0056596,Debit,Mastercard,2022-02-04,2029-04-18,ACTIVE
CARD000096,ACC0183934,Debit,Visa,2021-04-16,2032-05-09,BLOCKED
CARD000097,ACC0169766,Credit,Visa,2023-11-13,2030-10-30,EXPIRED
CARD000098,ACC0060570,Debit,Mastercard,2020-08-01,2029-11-20,EXPIRED
CARD000099,ACC0001094,Debit,Mastercard,2020-09-21,2029-10-20,EXPIRED
CARD000100,ACC0011968,Debit,Mastercard,2025-06-05,2028-06-28,EXPIRED
CARD000101,ACC0079952,Credit,Mastercard,2023-09-27,2030-10-30,BLOCKED
CARD000102,ACC0000785,Credit,RuPay,2023-12-13,2030-07-22,BLOCKED
CARD000103,ACC0187990,Credit,Mastercard,2018-10-21,2030-07-12,ACTIVE
CARD000104,ACC0085580,Credit,RuPay,2020-06-11,2028-04-27,ACTIVE
CARD000105,ACC0181716,Credit,RuPay,2021-05-07,2030-05-24,ACTIVE
CARD000106,ACC0144149,Credit,Visa,2019-09-11,2030-10-03,ACTIVE
CARD000107,ACC0058243,Credit,RuPay,2023-02-07,2030-08-30,BLOCKED
CARD000108,ACC0161542,Debit,Mastercard,2019-04-13,2031-04-23,BLOCKED
CARD000109,ACC0025929,Credit,Mastercard,2024-01-07,2027-10-08,EXPIRED
CARD000110,ACC0084056,Debit,RuPay,2018-07-30,2030-04-11,EXPIRED
CARD000111,ACC0185838,Debit,Mastercard,2021-12-19,2029-10-15,EXPIRED
CARD000112,ACC0181797,Debit,Visa,2024-11-18,2029-02-02,EXPIRED
CARD000113,ACC0184291,Credit,Mastercard,2025-07-12,2028-10-19,BLOCKED
CARD000114,ACC0129150,Debit,RuPay,2020-06-05,2031-05-15,ACTIVE
CARD000115,ACC0085096,Debit,Visa,2022-04-04,2031-07-07,EXPIRED
CARD000116,ACC0158680,Debit,Visa,2019-04-09,2029-11-20,ACTIVE
CARD000117,ACC0118231,Debit,Mastercard,2023-11-27,2028-03-29,BLOCKED
CARD000118,ACC0072558,Debit,Visa,2020-12-13,2027-12-27,BLOCKED
CARD000119,ACC0089789,Debit,RuPay,2023-09-14,2029-11-27,BLOCKED
CARD000120,ACC0075028,Credit,Mastercard,2019-01-08,2030-04-08,BLOCKED
CARD000121,ACC0181461,Credit,RuPay,2020-12-13,2027-09-24,BLOCKED
CARD000122,ACC0089182,Debit,RuPay,2024-09-08,2030-05-04,ACTIVE
CARD000123,ACC0083827,Credit,Visa,2019-07-14,2031-06-11,EXPIRED
CARD000124,ACC0178574,Credit,Visa,2018-09-13,2028-05-09,EXPIRED
CARD000125,ACC0178964,Debit,Visa,2022-04-25,2029-07-08,EXPIRED
CARD000126,ACC0155184,Debit,RuPay,2021-03-23,2030-09-23,BLOCKED
CARD000127,ACC0149983,Credit,Mastercard,2022-10-12,2030-07-23,EXPIRED
CARD000128,ACC0133390,Debit,Visa,2023-03-23,2032-05-16,EXPIRED
CARD000129,ACC0114188,Credit,Visa,2022-07-21,2029-12-16,BLOCKED
CARD000130,ACC0058050,Credit,Visa,2019-04-22,2028-06-27,ACTIVE
CARD000131,ACC0131088,Credit,Mastercard,2025-03-26,2028-03-16,BLOCKED
CARD000132,ACC0114009,Credit,Mastercard,2021-10-27,2027-10-09,EXPIRED
CARD000133,ACC0062912,Credit,Mastercard,2021-03-30,2030-02-21,BLOCKED
CARD000134,ACC0045098,Credit,RuPay,2022-08-09,2030-04-10,BLOCKED
CARD000135,ACC0014830,Debit,RuPay,2020-05-24,2031-01-14,ACTIVE
CARD000136,ACC0192755,Debit,Visa,2022-09-02,2030-04-15,ACTIVE
CARD000137,ACC0080619,Credit,RuPay,2019-07-27,2028-12-28,BLOCKED
CARD000138,ACC0110828,Credit,RuPay,2020-02-21,2028-08-29,ACTIVE
CARD000139,ACC0154435,Debit,Visa,2023-08-29,2032-05-19,EXPIRED
CARD000140,ACC0146399,Credit,Mastercard,2021-06-21,2032-02-13,BLOCKED
CARD000141,ACC0127394,Debit,RuPay,2023-10-19,2028-02-28,ACTIVE
CARD000142,ACC0159344,Debit,Visa,2021-11-26,2029-12-23,ACTIVE
CARD000143,ACC0018198,Credit,Visa,2024-07-04,2028-07-02,ACTIVE
CARD000144,ACC0178230,Debit,Mastercard,2023-09-10,2032-05-18,BLOCKED
CARD000145,ACC0194564,Debit,Mastercard,2020-12-09,2029-09-28,ACTIVE
CARD000146,ACC0154566,Credit,Visa,2024-03-06,2028-03-19,ACTIVE
CARD000147,ACC0158200,Debit,Visa,2019-10-01,2031-10-20,BLOCKED
CARD000148,ACC0178227,Credit,Visa,2019-12-31,2032-07-10,BLOCKED
CARD000149,ACC0006091,Credit,RuPay,2019-10-18,2031-06-01,EXPIRED
CARD000150,ACC0040971,Credit,Mastercard,2019-06-16,2028-06-07,ACTIVE
CARD000151,ACC0180807,Debit,Visa,2021-08-24,2031-02-07,ACTIVE
CARD000152,ACC0062558,Credit,Mastercard,2023-08-22,2028-10-30,EXPIRED
CARD000153,ACC0045987,Debit,RuPay,2020-12-14,2029-05-18,BLOCKED
CARD000154,ACC0058882,Credit,Visa,2019-06-09,2031-09-18,ACTIVE
CARD000155,ACC0176374,Debit,Visa,2021-07-19,2031-10-04,EXPIRED
CARD000156,ACC0198579,Credit,Mastercard,2023-12-03,2029-05-03,ACTIVE
CARD000157,ACC0185311,Credit,Visa,2021-03-16,2032-07-05,BLOCKED
CARD000158,ACC0032656,Credit,Mastercard,2022-05-13,2029-09-20,BLOCKED
CARD000159,ACC0030137,Credit,Mastercard,2021-11-27,2032-03-10,ACTIVE
CARD000160,ACC0069221,Debit,Visa,2025-05-24,2029-12-18,BLOCKED
CARD000161,ACC0010197,Debit,Mastercard,2024-02-26,2029-06-02,BLOCKED
CARD000162,ACC0148916,Credit,RuPay,2024-08-07,2027-07-28,EXPIRED
CARD000163,ACC0183184,Debit,Visa,2019-03-21,2028-08-02,ACTIVE
CARD000164,ACC0146261,Credit,Visa,2018-12-06,2030-11-11,EXPIRED
CARD000165,ACC0023683,Debit,RuPay,2021-08-10,2030-07-20,EXPIRED
CARD000166,ACC0072160,Debit,Mastercard,2018-09-15,2031-07-07,BLOCKED
CARD000167,ACC0179795,Debit,Visa,2025-07-07,2029-03-17,EXPIRED
CARD000168,ACC0085391,Debit,Visa,2024-10-31,2028-10-29,ACTIVE
CARD000169,ACC0088134,Credit,Visa,2023-03-06,2029-09-16,EXPIRED
CARD000170,ACC0099044,Credit,Mastercard,2024-05-08,2030-06-28,EXPIRED
CARD000171,ACC0063012,Debit,Mastercard,2024-07-09,2030-06-18,ACTIVE
CARD000172,ACC0185563,Credit,Mastercard,2018-07-20,2030-08-03,EXPIRED
CARD000173,ACC0058603,Credit,Mastercard,2021-04-05,2031-11-02,BLOCKED
CARD000174,ACC0118514,Credit,Visa,2022-09-29,2030-09-23,ACTIVE
CARD000175,ACC0184704,Credit,Visa,2019-09-03,2031-07-30,BLOCKED
CARD000176,ACC0070344,Debit,Mastercard,2019-04-09,2029-02-12,ACTIVE
CARD000177,ACC0131629,Credit,Visa,2021-09-24,2030-04-09,BLOCKED
CARD000178,ACC0177153,Credit,RuPay,2021-10-21,2031-05-26,EXPIRED
CARD000179,ACC0073644,Debit,Mastercard,2022-07-17,2031-03-21,ACTIVE
CARD000180,ACC0039307,Credit,Mastercard,2023-09-20,2031-03-27,ACTIVE
CARD000181,ACC0147691,Debit,RuPay,2021-03-29,2031-10-27,ACTIVE
CARD000182,ACC0003681,Credit,Visa,2019-08-21,2032-05-12,EXPIRED
CARD000183,ACC0110419,Credit,Visa,2021-05-11,2028-06-21,ACTIVE
CARD000184,ACC0111527,Debit,Mastercard,2022-04-17,2029-12-31,BLOCKED
CARD000185,ACC0016580,Credit,Mastercard,2024-03-03,2029-11-17,BLOCKED
CARD000186,ACC0135716,Debit,RuPay,2023-04-07,2032-05-07,BLOCKED
CARD000187,ACC0111857,Credit,Mastercard,2020-05-05,2030-04-18,ACTIVE
CARD000188,ACC0188547,Credit,Visa,2020-10-10,2030-02-08,ACTIVE
CARD000189,ACC0113557,Debit,Visa,2020-08-30,2028-05-04,BLOCKED
CARD000190,ACC0057896,Credit,Visa,2021-07-13,2028-05-03,BLOCKED
CARD000191,ACC0194846,Debit,Mastercard,2022-05-03,2031-03-10,BLOCKED
CARD000192,ACC0034172,Credit,RuPay,2022-03-28,2027-12-26,EXPIRED
CARD000193,ACC0096361,Credit,Visa,2024-09-23,2032-03-05,BLOCKED
CARD000194,ACC0160269,Credit,RuPay,2025-02-27,2028-03-08,ACTIVE
CARD000195,ACC0130830,Credit,Visa,2025-03-22,2028-05-08,EXPIRED
CARD000196,ACC0010012,Credit,RuPay,2025-03-20,2028-04-12,ACTIVE
CARD000197,ACC0027218,Credit,Mastercard,2023-12-23,2029-05-13,EXPIRED
CARD000198,ACC0067297,Debit,Visa,2019-11-09,2031-07-18,EXPIRED
CARD000199,ACC0133848,Debit,RuPay,2022-04-04,2030-05-17,BLOCKED
CARD000200,ACC0193478,Debit,RuPay,2023-05-17,2031-09-04,EXPIRED
CARD000201,ACC0066505,Debit,Mastercard,2023-10-08,2030-12-28,EXPIRED
CARD000202,ACC0176065,Debit,Mastercard,2024-08-03,2031-12-17,EXPIRED
CARD000203,ACC0152732,Debit,Mastercard,2022-01-01,2029-09-05,EXPIRED
CARD000204,ACC0023494,Credit,Mastercard,2024-11-25,2031-12-04,ACTIVE
CARD000205,ACC0010842,Credit,Mastercard,2020-11-25,2031-04-07,EXPIRED
CARD000206,ACC0066094,Debit,Mastercard,2021-01-15,2030-12-17,EXPIRED
CARD000207,ACC0180441,Credit,Visa,2023-09-07,2031-05-31,BLOCKED
CARD000208,ACC0064066,Credit,Mastercard,2018-09-29,2028-11-30,BLOCKED
CARD000209,ACC0101150,Credit,Mastercard,2019-06-07,2027-09-07,ACTIVE
CARD000210,ACC0005312,Credit,RuPay,2019-04-20,2031-05-22,ACTIVE
CARD000211,ACC0012112,Credit,Visa,2023-12-05,2028-04-25,BLOCKED
CARD000212,ACC0172345,Credit,Visa,2023-05-10,2029-09-05,BLOCKED
CARD000213,ACC0167887,Debit,Visa,2018-11-07,2030-12-16,BLOCKED
CARD000214,ACC0135997,Credit,Mastercard,2025-03-31,2028-07-18,BLOCKED
CARD000215,ACC0117722,Credit,Mastercard,2022-10-21,2029-10-02,EXPIRED
CARD000216,ACC0198521,Credit,Visa,2025-04-23,2031-11-24,BLOCKED
CARD000217,ACC0014413,Debit,RuPay,2022-05-06,2030-09-22,EXPIRED
CARD000218,ACC0013621,Credit,Visa,2024-02-18,2031-11-25,EXPIRED
CARD000219,ACC0088285,Debit,RuPay,2022-07-20,2030-02-17,EXPIRED
CARD000220,ACC0140298,Debit,Mastercard,2019-03-19,2029-01-08,EXPIRED
CARD000221,ACC0102319,Debit,RuPay,2025-02-04,2029-04-03,BLOCKED
CARD000222,ACC0010519,Debit,Visa,2018-12-08,2029-03-04,EXPIRED
CARD000223,ACC0165300,Debit,RuPay,2025-01-31,2027-11-02,EXPIRED
CARD000224,ACC0007393,Debit,RuPay,2022-02-08,2027-07-27,ACTIVE
CARD000225,ACC0030142,Credit,RuPay,2019-02-15,2031-07-03,EXPIRED
CARD000226,ACC0036089,Debit,Mastercard,2024-10-19,2030-03-08,EXPIRED
CARD000227,ACC0048167,Credit,RuPay,2019-06-27,2032-04-15,ACTIVE
CARD000228,ACC0132468,Credit,Mastercard,2018-08-12,2028-11-03,EXPIRED
CARD000229,ACC0054622,Credit,Mastercard,2025-07-14,2029-03-10,BLOCKED
CARD000230,ACC0017786,Debit,Mastercard,2021-03-03,2029-07-07,EXPIRED
CARD000231,ACC0150845,Credit,Visa,2024-05-09,2029-10-02,ACTIVE
CARD000232,ACC0076677,Debit,Mastercard,2020-04-27,2027-07-27,EXPIRED
CARD000233,ACC0035158,Credit,Visa,2024-03-24,2028-12-07,ACTIVE
CARD000234,ACC0003307,Debit,RuPay,2024-09-10,2030-05-02,ACTIVE
CARD000235,ACC0172573,Debit,RuPay,2020-11-08,2028-08-02,ACTIVE
CARD000236,ACC0170355,Credit,Mastercard,2020-05-15,2030-11-10,BLOCKED
CARD000237,ACC0114178,Credit,Visa,2020-10-24,2028-05-14,EXPIRED
CARD000238,ACC0189064,Debit,RuPay,2019-07-01,2030-09-03,ACTIVE
CARD000239,ACC0098479,Credit,Mastercard,2025-05-21,2032-02-02,ACTIVE
CARD000240,ACC0193839,Credit,Mastercard,2022-01-22,2031-10-16,EXPIRED
CARD000241,ACC0095826,Credit,Mastercard,2021-07-04,2028-01-24,EXPIRED
CARD000242,ACC0106772,Debit,Mastercard,2024-07-10,2028-11-05,ACTIVE
CARD000243,ACC0042562,Debit,Mastercard,2022-09-28,2031-07-02,EXPIRED
CARD000244,ACC0081957,Credit,RuPay,2019-05-23,2029-09-24,EXPIRED
CARD000245,ACC0127345,Credit,Mastercard,2019-04-11,2028-01-10,ACTIVE
CARD000246,ACC0106354,Credit,RuPay,2022-10-02,2028-01-29,EXPIRED
CARD000247,ACC0098536,Debit,Visa,2021-10-31,2031-10-14,EXPIRED
CARD000248,ACC0052284,Debit,Visa,2019-08-19,2032-02-19,ACTIVE
CARD000249,ACC0146132,Credit,RuPay,2024-01-16,2029-07-31,ACTIVE
CARD000250,ACC0142525,Debit,Mastercard,2022-02-26,2029-04-13,ACTIVE
CARD000251,ACC0004171,Credit,RuPay,2018-07-20,2029-12-31,EXPIRED
CARD000252,ACC0134976,Credit,Mastercard,2019-11-04,2031-05-04,ACTIVE
CARD000253,ACC0022253,Credit,Mastercard,2024-06-16,2030-05-16,ACTIVE
CARD000254,ACC0036569,Debit,RuPay,2021-03-16,2027-08-08,BLOCKED
CARD000255,ACC0117992,Credit,RuPay,2021-06-20,2030-10-05,ACTIVE
CARD000256,ACC0140722,Credit,Mastercard,2020-02-28,2029-08-15,ACTIVE
CARD000257,ACC0143032,Credit,Mastercard,2022-02-09,2028-01-04,ACTIVE
CARD000258,ACC0047414,Credit,RuPay,2022-02-11,2028-01-09,EXPIRED
CARD000259,ACC0000570,Debit,RuPay,2019-09-21,2029-04-07,BLOCKED
CARD000260,ACC0197629,Debit,Mastercard,2018-08-25,2029-06-18,ACTIVE
CARD000261,ACC0015498,Credit,Visa,2019-10-04,2029-06-27,EXPIRED
CARD000262,ACC0008767,Credit,RuPay,2020-12-12,2029-02-22,BLOCKED
CARD000263,ACC0107939,Credit,Mastercard,2023-02-19,2028-09-04,EXPIRED
CARD000264,ACC0024320,Credit,Mastercard,2021-12-04,2030-04-10,ACTIVE
CARD000265,ACC0111233,Debit,Visa,2022-06-09,2027-12-03,BLOCKED
CARD000266,ACC0013727,Credit,Visa,2019-07-14,2032-02-05,EXPIRED
CARD000267,ACC0067384,Credit,RuPay,2019-09-27,2029-09-04,ACTIVE
CARD000268,ACC0034780,Credit,Mastercard,2025-02-23,2031-06-01,EXPIRED
CARD000269,ACC0100353,Debit,Mastercard,2022-09-27,2031-07-04,ACTIVE
CARD000270,ACC0048837,Debit,Visa,2024-09-22,2031-06-12,BLOCKED
CARD000271,ACC0136549,Credit,Visa,2019-04-08,2032-02-21,BLOCKED
CARD000272,ACC0026797,Credit,RuPay,2020-12-07,2032-06-29,ACTIVE
CARD000273,ACC0155621,Credit,RuPay,2019-10-05,2029-05-03,EXPIRED
CARD000274,ACC0152293,Credit,RuPay,2020-01-25,2029-02-23,BLOCKED
CARD000275,ACC0019394,Debit,Mastercard,2023-03-16,2029-02-06,EXPIRED
CARD000276,ACC0182340,Debit,Mastercard,2022-09-05,2031-05-26,BLOCKED
CARD000277,ACC0028932,Debit,RuPay,2020-07-18,2028-12-19,EXPIRED
CARD000278,ACC0069032,Debit,RuPay,2019-10-10,2032-02-22,EXPIRED
CARD000279,ACC0098196,Credit,Visa,2022-10-15,2027-10-05,EXPIRED
CARD000280,ACC0145092,Debit,RuPay,2021-04-18,2028-08-31,ACTIVE
CARD000281,ACC0045524,Credit,Visa,2020-12-05,2031-12-16,EXPIRED
CARD000282,ACC0088492,Credit,Mastercard,2023-09-28,2029-12-17,EXPIRED
CARD000283,ACC0060278,Credit,RuPay,2022-02-11,2027-10-01,EXPIRED
CARD000284,ACC0073500,Debit,RuPay,2018-12-30,2030-02-13,BLOCKED
CARD000285,ACC0016609,Debit,RuPay,2019-11-18,2028-01-07,ACTIVE
CARD000286,ACC0157550,Credit,RuPay,2018-12-10,2030-03-23,EXPIRED
CARD000287,ACC0011177,Debit,Visa,2021-06-20,2028-12-05,EXPIRED
CARD000288,ACC0098330,Debit,Visa,2023-08-20,2028-10-02,ACTIVE
CARD000289,ACC0099167,Credit,Visa,2021-02-03,2031-06-20,BLOCKED
CARD000290,ACC0119402,Credit,Visa,2018-10-02,2030-08-28,EXPIRED
CARD000291,ACC0056884,Debit,RuPay,2024-05-24,2029-02-17,BLOCKED
CARD000292,ACC0019810,Debit,RuPay,2024-02-19,2027-08-06,BLOCKED
CARD000293,ACC0096994,Credit,RuPay,2024-02-13,2032-06-15,BLOCKED
CARD000294,ACC0108512,Credit,Visa,2021-06-18,2029-05-05,BLOCKED
CARD000295,ACC0089591,Credit,Mastercard,2021-09-27,2028-09-19,ACTIVE
CARD000296,ACC0113768,Credit,RuPay,2019-01-07,2031-11-01,ACTIVE
CARD000297,ACC0196513,Credit,Visa,2022-10-31,2029-05-02,ACTIVE
CARD000298,ACC0085090,Debit,Mastercard,2022-10-10,2028-05-23,EXPIRED
CARD000299,ACC0108185,Credit,Mastercard,2022-09-23,2031-01-07,EXPIRED
CARD000300,ACC0090001,Debit,RuPay,2025-05-28,2029-08-24,BLOCKED
CARD000301,ACC0133494,Debit,Mastercard,2021-07-20,2029-05-08,EXPIRED
CARD000302,ACC0000680,Debit,Mastercard,2023-10-18,2027-10-14,ACTIVE
CARD000303,ACC0186205,Credit,RuPay,2020-10-23,2028-07-10,EXPIRED
CARD000304,ACC0017809,Debit,Mastercard,2019-01-04,2028-01-22,EXPIRED
CARD000305,ACC0057860,Debit,Visa,2021-07-27,2028-11-04,BLOCKED
CARD000306,ACC0026007,Debit,Visa,2018-08-09,2028-09-23,BLOCKED
CARD000307,ACC0003897,Debit,Visa,2020-07-14,2031-07-09,ACTIVE
CARD000308,ACC0187042,Debit,Mastercard,2020-11-27,2028-12-05,EXPIRED
CARD000309,ACC0012405,Debit,RuPay,2023-08-31,2028-07-29,ACTIVE
CARD000310,ACC0144251,Credit,Mastercard,2024-01-04,2032-05-21,ACTIVE
CARD000311,ACC0146503,Debit,Mastercard,2022-02-23,2030-09-27,ACTIVE
CARD000312,ACC0114093,Debit,Visa,2023-08-18,2031-07-06,EXPIRED
CARD000313,ACC0136600,Debit,Mastercard,2022-02-21,2029-01-13,EXPIRED
CARD000314,ACC0161464,Credit,Visa,2021-02-06,2029-03-17,ACTIVE
CARD000315,ACC0125329,Credit,Mastercard,2023-06-02,2031-08-31,BLOCKED
CARD000316,ACC0132229,Credit,RuPay,2023-05-07,2031-03-01,EXPIRED
CARD000317,ACC0181200,Debit,Mastercard,2022-08-20,2029-06-12,BLOCKED
CARD000318,ACC0083931,Credit,Visa,2022-02-03,2030-07-27,BLOCKED
CARD000319,ACC0187668,Debit,Mastercard,2024-09-16,2031-02-13,EXPIRED
CARD000320,ACC0061256,Credit,Mastercard,2022-09-16,2030-02-01,ACTIVE
CARD000321,ACC0148574,Debit,Mastercard,2023-01-04,2031-08-04,ACTIVE
CARD000322,ACC0112095,Credit,Visa,2024-04-09,2028-07-21,ACTIVE
CARD000323,ACC0133324,Credit,Visa,2020-04-18,2030-01-11,EXPIRED
